time,responses,score,phase_name,phase_id,rate
39.264,1,1,A,1,0.29562526464785427
39.738,2,1,A,1,0.2926837441166619
52.743,3,2,A,1,0.28977149220378523
59.749,4,2,A,1,0.28403363222026906
63.791,5,2,A,1,0.2812074503588497
81.719,6,2,A,1,0.2674928011701617
89.207,7,2,A,1,0.2621960888261002
92.244,8,2,A,1,0.2595871941519626
95.62,9,2,A,1,0.25700425841356356
102.105,10,3,A,1,0.2595871941519626
106.144,11,3,A,1,0.25700425841356356
108.691,12,3,A,1,0.2544470233151768
127.875,13,4,A,1,0.24940863468038935
138.498,14,5,A,1,0.24940863468038935
145.013,15,6,A,1,0.2519152331311615
151.587,16,7,A,1,0.2544470233151768
158.436,17,8,A,1,0.25700425841356356
165.168,18,9,A,1,0.2595871941519626
171.661,19,10,A,1,0.2621960888261002
178.142,20,11,A,1,0.26483120332761784
185.17,21,12,A,1,0.2674928011701617
191.242,22,13,A,1,0.270181148515734
197.527,23,14,A,1,0.2728965142013095
211.633,24,15,A,1,0.270181148515734
219.244,25,15,A,1,0.26483120332761784
222.984,26,15,A,1,0.2621960888261002
232.359,27,16,A,1,0.2621960888261002
238.715,28,16,A,1,0.2595871941519626
245.482,29,17,A,1,0.2621960888261002
252.161,30,18,A,1,0.26483120332761784
259.934,31,19,A,1,0.26483120332761784
261.57,32,19,A,1,0.2621960888261002
268.719,33,20,A,1,0.26483120332761784
274.734,34,21,A,1,0.2674928011701617
281.922,35,22,A,1,0.270181148515734
293.162,36,23,A,1,0.2674928011701617
296.852,37,23,A,1,0.26483120332761784
304.124,38,24,A,1,0.2674928011701617
309.901,39,25,A,1,0.270181148515734
317.343,40,26,A,1,0.270181148515734
320.549,41,26,A,1,0.2674928011701617
327.216,42,26,A,1,0.26483120332761784
333.964,43,27,A,1,0.2674928011701617
340.596,44,28,A,1,0.270181148515734
346.679,45,29,A,1,0.2728965142013095
360.39,46,30,A,1,0.270181148515734
366.86,47,31,A,1,0.2728965142013095
373.961,48,32,A,1,0.2756391697657197
380.334,49,33,A,1,0.2784093894768066
386.588,50,34,A,1,0.2812074503588497
392.827,51,35,A,1,0.28403363222026906
398.388,52,36,A,1,0.2868882176816059
404.113,53,37,A,1,0.28977149220378523
409.356,54,38,A,1,0.2926837441166619
414.82,55,39,A,1,0.29562526464785427
420.723,56,40,A,1,0.2985963479518666
426.197,57,41,A,1,0.3015972911395053
431.545,58,42,A,1,0.3046283943075898
437.659,59,43,A,1,0.3076899605689629
442.516,60,44,A,1,0.31078229608280206
447.718,61,45,A,1,0.3139057100852356
452.921,62,46,A,1,0.31706051492026666
458.478,63,47,A,1,0.3202470260710077
463.562,64,48,A,1,0.32346556219122924
468.406,65,49,A,1,0.3267164451372255
473.026,66,50,A,1,0.33
477.685,67,51,A,1,0.33331655513777547
482.121,68,51,A,1,0.33
488.413,69,51,A,1,0.32346556219122924
490.334,70,51,A,1,0.3202470260710077
495.639,71,52,A,1,0.32346556219122924
501.049,72,53,A,1,0.3267164451372255
505.712,73,54,A,1,0.33
511.176,74,55,A,1,0.33331655513777547
516.579,75,56,A,1,0.3366664422088294
522.11,76,57,A,1,0.3400499962046606
526.805,77,58,A,1,0.3434675554834881
532.869,78,59,A,1,0.3434675554834881
536.103,79,60,A,1,0.34691946180408795
538.493,80,60,A,1,0.3434675554834881
549.603,81,61,B,2,0.3400499962046606
557.314,82,62,B,2,0.3400499962046606
562.743,83,63,B,2,0.3434675554834881
567.988,84,64,B,2,0.34691946180408795
572.916,85,65,B,2,0.3504060603599687
577.708,86,66,B,2,0.35392769981389144
582.7,87,67,B,2,0.35748473233273637
588.04,88,68,B,2,0.36107751362271945
595.945,89,68,B,2,0.35392769981389144
596.752,90,68,B,2,0.3504060603599687
602.775,91,68,B,2,0.3434675554834881
604.723,92,68,B,2,0.3400499962046606
609.712,93,69,B,2,0.3434675554834881
615.038,94,70,B,2,0.34691946180408795
620.185,95,71,B,2,0.3504060603599687
624.693,96,72,B,2,0.35392769981389144
629.443,97,73,B,2,0.35748473233273637
635.172,98,73,B,2,0.3504060603599687
637.722,99,73,B,2,0.34691946180408795
646.454,100,74,B,2,0.3434675554834881
648.984,101,74,B,2,0.3400499962046606
653.559,102,75,B,2,0.3434675554834881
658.155,103,76,B,2,0.34691946180408795
662.662,104,77,B,2,0.3504060603599687
668.023,105,78,B,2,0.35392769981389144
675.57,106,79,B,2,0.35392769981389144
680.345,107,80,B,2,0.35748473233273637
686.146,108,80,B,2,0.3504060603599687
688.489,109,80,B,2,0.34691946180408795
693.361,110,81,B,2,0.3504060603599687
698.306,111,82,B,2,0.35392769981389144
703.819,112,83,B,2,0.35748473233273637
708.896,113,84,B,2,0.36107751362271945
715.039,114,85,B,2,0.36107751362271945
717.704,115,85,B,2,0.35748473233273637
722.549,116,86,B,2,0.36107751362271945
727.446,117,87,B,2,0.36470640296496376
732.399,118,88,B,2,0.36837176325142756
737.375,119,89,B,2,0.372073961021194
741.593,120,90,B,2,0.37581336649712527
746.713,121,91,B,2,0.37959035362288507
752.158,122,92,B,2,0.37959035362288507
754.604,123,92,B,2,0.37581336649712527
759.414,124,93,B,2,0.37959035362288507
766.507,125,94,B,2,0.37959035362288507
771.32,126,95,B,2,0.3834053001003335
776.29,127,96,B,2,0.38725858742729746
781.519,128,96,B,2,0.37959035362288507
783.375,129,96,B,2,0.37581336649712527
788.548,130,97,B,2,0.37959035362288507
792.841,131,98,B,2,0.3834053001003335
796.93,132,99,B,2,0.38725858742729746
801.572,133,100,B,2,0.39115060093572074
811.185,134,100,A,3,0.37959035362288507
816.365,135,101,A,3,0.3834053001003335
821.445,136,102,A,3,0.38725858742729746
845.395,137,102,A,3,0.35392769981389144
